County,Population,Median Age,Median Household Income,High School Graduate,Bachelor's Degree,Percent Rural
Adair,8243,41.8,47553,87.8,11.2,1.00
Adams,4482,41.9,38191,84.5,12.0,1.00
Allamakee,14675,39.7,44119,81.4,14.4,0.74
Appanoose,13721,40.6,33663,81.4,12.2,0.58
Audubon,6830,42.4,45280,82.5,12.3,0.67
Benton,25308,37.2,56592,87.8,13.9,0.66
Black Hawk,128012,34.4,42753,86.5,23.0,0.13
Boone,26224,38.6,51678,89.0,18.8,0.52
Bremer,23325,38.1,54482,87.7,21.5,0.66
Buchanan,21093,36.4,51052,84.6,12.7,0.72
Buena Vista,20411,36.4,43864,81.3,18.7,0.58
Butler,15305,41.3,50400,82.2,12.4,1.00
Calhoun,11115,42.4,44833,85.4,15.4,1.00
Carroll,21421,38.7,46086,83.7,16.0,0.58
Cass,14684,41.6,40358,85.9,16.6,0.54
Cedar,18187,39.2,52600,87.7,16.3,0.84
Cerro Gordo,46447,39.3,44494,87.3,20.3,0.22
Cherokee,13035,41.7,44474,87.5,15.2,0.57
Chickasaw,13095,39.7,43990,83.4,12.2,0.74
Clarke,9133,38.6,42384,84.4,12.1,0.56
Clay,17372,39.4,44294,88.0,16.3,0.40
Clayton,18678,40.2,43387,82.6,12.8,1.00
Clinton,50149,38.2,47020,85.6,14.4,0.26
Crawford,16942,38.2,42916,78.5,12.4,0.65
Dallas,40750,35.1,71854,89.5,26.8,0.66
Davis,8541,38.5,42741,78.9,11.4,0.69
Decatur,8689,36.4,32242,81.7,15.1,0.72
Delaware,18404,37.1,48574,85.1,13.0,0.74
Des Moines,42351,38.9,41273,85.8,16.0,0.29
Dickinson,16424,43.3,50069,89.2,21.3,0.75
Dubuque,89143,36.5,46894,85.2,21.3,0.26
Emmet,11027,39.6,42979,82.2,13.0,0.44
Fayette,22008,39.4,41809,84.8,13.8,0.59
Floyd,16900,40.3,43288,85.9,14.8,0.55
Franklin,10704,41.3,46082,84.0,14.5,0.64
Fremont,8010,41.2,45897,85.0,14.0,1.00
Greene,10366,41.0,44476,85.6,14.6,0.60
Grundy,12369,40.8,55901,86.5,17.2,0.80
Guthrie,11353,41.9,48626,85.4,14.9,1.00
Hamilton,16438,39.1,46994,87.3,17.5,0.52
Hancock,12100,39.7,48040,85.8,15.4,0.76
Hardin,18812,40.6,44705,85.7,17.1,0.58
Harrison,15666,38.9,50368,85.0,12.7,0.81
Henry,20336,37.1,43887,86.1,16.2,0.61
Howard,9932,39.5,42421,79.3,12.6,0.65
Humboldt,10381,41.3,46437,86.3,15.4,0.61
Ida,7837,41.5,44892,85.0,13.6,1.00
Iowa,15671,38.8,52079,87.0,15.8,1.00
Jackson,20296,39.1,44567,81.5,12.1,0.72
Jasper,37213,38.5,48439,86.8,15.9,0.58
Jefferson,16181,41.1,41523,88.1,31.2,0.42
Johnson,111006,28.4,48955,93.7,47.6,0.27
Jones,20221,38.5,48254,85.3,12.7,0.58
Keokuk,11400,40.0,42969,84.0,11.6,1.00
Kossuth,17163,41.3,47812,85.6,13.6,0.71
Lee,38052,39.5,40921,83.6,12.5,0.37
Linn,191701,35.2,53700,90.6,27.7,0.18
Louisa,12183,35.9,45367,79.7,12.7,1.00
Lucas,9422,39.9,38122,79.1,11.1,0.52
Lyon,11763,38.1,48467,78.7,14.2,0.79
Madison,14019,37.9,55607,87.6,14.4,0.68
Mahaska,22335,37.2,45021,82.6,16.5,0.52
Marion,32052,37.2,52221,84.0,18.9,0.44
Marshall,39311,38.6,45190,82.3,17.0,0.35
Mills,14547,38.1,54646,83.2,16.3,0.61
Mitchell,10874,40.6,46684,84.4,12.8,0.70
Monona,10020,43.0,41072,81.7,13.4,0.72
Monroe,8016,39.7,41103,82.2,12.6,0.55
Montgomery,11771,40.4,39430,81.8,12.9,0.49
Muscatine,41722,36.1,48671,80.3,17.2,0.29
O'Brien,15102,40.7,43292,80.7,14.7,0.71
Osceola,7003,39.7,42469,81.1,13.4,0.64
Page,16976,40.2,40692,85.5,16.6,0.38
Palo Alto,10147,40.7,43752,83.7,13.9,0.64
Plymouth,24849,37.8,58440,87.4,19.3,0.67
Pocahontas,8662,42.5,45593,86.6,15.0,1.00
Polk,374601,34.4,54948,88.3,29.7,0.08
Pottawattamie,87704,36.5,45769,84.0,15.0,0.28
Poweshiek,18815,38.4,47337,86.7,18.5,0.54
Ringgold,5469,43.2,35035,82.8,13.4,1.00
Sac,11529,42.1,44135,84.2,13.6,0.79
Scott,158668,35.4,50707,86.3,24.9,0.12
Shelby,13173,40.5,45177,86.6,15.3,0.64
Sioux,31589,32.8,50978,80.4,19.8,0.53
Story,79981,26.5,48165,93.5,44.5,0.25
Tama,18103,39.1,45564,84.2,12.9,0.85
Taylor,6958,41.6,39727,83.3,12.0,1.00
Union,12309,40.1,41167,87.3,14.7,0.39
Van Buren,7809,40.8,37544,82.7,11.8,1.00
Wapello,36051,39.2,39941,81.5,14.6,0.32
Warren,40671,36.0,60253,90.0,21.2,0.43
Washington,20670,38.8,49760,82.5,16.4,0.67
Wayne,6730,43.0,35092,83.9,12.1,1.00
Webster,40235,37.7,40501,84.2,16.9,0.36
Winnebago,11723,39.8,44608,87.3,16.5,0.70
Winneshiek,21310,35.7,48562,84.1,20.5,0.63
Woodbury,103877,34.2,43820,81.4,18.9,0.16
Worth,7909,40.7,49371,86.0,12.7,1.00
Wright,14334,41.4,47130,84.4,13.5,0.39
