County,Sessions
Johnson,2936
Polk,4162
Story,2240
Woodbury,2154
Linn,2093
Scott,1175
Black Hawk,1183
Dubuque,537
Poweshiek,398
Pottawattamie,295
Clinton,255
Webster,228
Cerro Gordo,226
Marshall,173
Winneshiek,155
Des Moines,133
Jefferson,126
Bremer,143
Sioux,202
Wapello,114
Warren,107
Buena Vista,108
Muscatine,120
Marion,114
Jasper,86
Dallas,96
Union,82
Page,72
Appanoose,60
Floyd,66
Buchanan,83
Mahaska,47
Decatur,44
Plymouth,43
Boone,66
Henry,42
Clay,38
Cedar,79
Washington,79
Delaware,39
Carroll,42
Mills,33
Winnebago,42
Clarke,28
Dickinson,42
Cass,33
Fayette,45
Kossuth,28
Tama,64
Crawford,23
Howard,18
Emmet,23
Greene,24
Jones,38
Palo Alto,27
Shelby,25
Guthrie,24
Montgomery,31
Jackson,44
Lucas,15
Hardin,25
O'Brien,21
Hamilton,44
Chickasaw,16
Lee,29
Louisa,19
Iowa,28
Clayton,31
Hancock,24
Madison,25
Cherokee,14
Grundy,26
Benton,36
Audubon,11
Wright,19
Keokuk,11
Monroe,8
Butler,19
Davis,7
Adair,14
Adams,6
Humboldt,8
Van Buren,5
Mitchell,14
Allamakee,11
Lyon,7
Wayne,4
Franklin,7
Calhoun,8
Fremont,7
Ida,3
Taylor,4
Harrison,11
Ringgold,3
Monona,5
Pocahontas,6
Sac,9
Osceola,2
Worth,2
