City,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration
Iowa City,2545,0.95,2429,0.96,1.05,0:00:11
Des Moines,2296,0.96,2210,0.96,1.04,0:00:12
Ames,2124,0.96,2033,0.96,1.05,0:00:16
Sioux City,2119,0.95,2019,0.95,1.06,0:00:20
Cedar Rapids,1627,0.97,1571,0.95,1.05,0:00:16
West Des Moines,1034,0.96,990,0.95,1.06,0:00:20
Davenport,934,0.95,889,0.95,1.05,0:00:18
Cedar Falls,806,0.97,780,0.96,1.04,0:00:12
Dubuque,495,0.97,478,0.95,1.06,0:00:15
Ankeny,407,0.97,394,0.96,1.04,0:00:10
Grinnell,394,0.94,372,0.95,1.06,0:00:19
Waterloo,346,0.97,336,0.95,1.05,0:00:26
Urbandale,313,0.96,299,0.96,1.04,0:00:11
Marion,275,0.99,272,0.99,1.01,0:00:04
Council Bluffs,262,0.98,256,0.96,1.04,0:00:25
North Liberty,249,0.94,235,0.96,1.04,0:00:17
Clinton,206,0.94,194,0.96,1.04,0:00:11
Fort Dodge,203,0.96,194,0.97,1.03,0:00:03
Bettendorf,198,0.93,185,0.95,1.07,0:00:12
Mason City,180,0.94,169,0.97,1.03,0:00:04
Marshalltown,161,0.94,152,0.98,1.02,0:00:08
Decorah,151,0.94,142,0.96,1.05,0:00:05
Burlington,126,0.98,123,0.96,1.05,0:00:16
Fairfield,124,0.96,119,0.97,1.03,0:00:12
Waverly,124,0.96,119,0.93,1.1,0:00:28
Sioux Center,116,0.97,112,0.97,1.03,0:00:02
Mount Vernon,108,0.96,104,0.99,1.01,0:00:02
Ottumwa,108,0.97,105,0.91,1.09,0:00:19
Indianola,98,0.98,96,0.93,1.11,0:00:51
Storm Lake,96,0.95,91,0.93,1.08,0:00:27
(not set),91,0.96,87,0.95,1.07,0:00:23
Muscatine,91,0.99,90,1.00,1,0:00:00
Pella,90,0.93,84,0.88,1.17,0:00:56
Newton,79,0.96,76,0.92,1.14,0:00:34
Waukee,74,0.99,73,0.95,1.07,0:00:36
Creston,73,0.99,72,0.95,1.05,0:00:22
Coralville,60,0.93,56,0.92,1.1,0:00:38
Orange City,60,0.97,58,0.98,1.02,0:00:03
Clarinda,57,0.96,55,0.91,1.09,0:00:14
Nevada,57,0.95,54,0.96,1.04,0:00:23
Centerville,56,0.96,54,0.91,1.09,0:00:39
Charles City,54,0.93,50,0.98,1.02,<00:00:01
Independence,49,0.98,48,0.96,1.04,0:00:06
Johnston,48,0.94,45,0.92,1.08,0:00:06
Oskaloosa,44,1.00,44,0.95,1.05,0:00:23
Lamoni,43,0.88,38,0.93,1.07,0:00:52
Le Mars,40,0.98,39,1.00,1,0:00:00
Boone,39,1.00,39,0.95,1.15,0:00:30
Mount Pleasant,38,1.00,38,0.97,1.03,0:00:07
Spencer,38,1.00,38,0.89,1.11,0:00:31
Clear Lake,36,1.00,36,0.89,1.14,0:00:21
West Branch,36,0.92,33,0.86,1.14,0:00:25
Kalona,35,0.94,33,0.94,1.09,0:00:30
Manchester,35,0.94,33,0.94,1.06,0:00:03
Carroll,32,0.97,31,0.97,1.06,0:00:02
DeWitt,30,0.97,29,0.93,1.07,0:00:27
Solon,29,1.00,29,0.93,1.07,0:00:15
Eldridge,28,1.00,28,0.96,1.04,0:01:04
Glenwood,28,0.96,27,0.96,1.04,0:00:12
Forest City,27,0.93,25,0.96,1.04,0:00:53
Clive,26,1.00,26,0.96,1.08,0:00:05
Osceola,26,1.00,26,1.00,1,0:00:00
La Porte City,25,0.96,24,1.00,1,0:00:00
Spirit Lake,25,1.00,25,1.00,1,0:00:00
Atlantic,22,1.00,22,1.00,1,0:00:00
Huxley,22,0.95,21,0.86,1.14,0:00:01
Oelwein,22,1.00,22,0.95,1.05,0:00:27
Sergeant Bluff,22,0.95,21,0.95,1.05,0:00:01
Algona,21,1.00,21,1.00,1,0:00:00
West Liberty,21,1.00,21,0.90,1.1,0:00:35
Knoxville,20,1.00,20,0.95,1.05,0:00:04
Tama,20,1.00,20,0.95,1.05,0:00:15
Tiffin,20,0.90,18,0.95,1.05,0:00:41
Amana,19,0.89,17,0.95,1.05,0:00:13
Denison,19,1.00,19,0.95,1.05,0:00:07
Dysart,19,0.89,17,1.00,1,0:00:00
Springville,19,0.95,18,0.95,1.05,0:00:26
Tipton,19,1.00,19,1.00,1,0:00:00
Cresco,18,0.94,17,1.00,1,0:00:00
Estherville,18,1.00,18,1.00,1,0:00:00
Jefferson,18,1.00,18,1.00,1,0:00:00
Monticello,18,0.94,17,0.94,1.06,0:00:06
Ogden,17,0.88,15,1.00,1,0:00:00
Washington,17,1.00,17,1.00,1,0:00:00
Emmetsburg,16,0.94,15,0.94,1.06,0:00:07
Harlan,16,0.94,15,0.94,1.06,0:01:33
Jesup,16,1.00,16,0.94,1.06,0:01:00
Panora,16,1.00,16,1.00,1,0:00:00
Red Oak,16,1.00,16,0.88,1.19,0:00:30
Wellman,16,1.00,16,1.00,1,0:00:00
Altoona,15,1.00,15,0.93,1.07,<00:00:01
Anamosa,15,1.00,15,1.00,1,0:00:00
Bellevue,15,1.00,15,0.87,1.13,0:01:22
Chariton,15,1.00,15,1.00,1,0:00:00
Dyersville,15,1.00,15,0.93,1.07,0:00:17
Robins,15,1.00,15,0.93,1.07,0:00:42
Colo,14,1.00,14,1.00,1,0:00:00
Fayette,14,1.00,14,1.00,1,0:00:00
Iowa Falls,14,0.93,13,0.93,1.07,0:00:20
Sheldon,14,0.93,13,0.86,1.14,0:01:41
Shenandoah,14,0.93,13,0.79,1.21,0:02:42
Underwood,14,0.86,12,1.00,1,0:00:00
Ellsworth,13,0.92,12,0.92,1.15,0:00:16
Gowrie,13,0.92,12,1.00,1,0:00:00
